indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),"GDP 
(billions PPP)",GDP per capita (PPP),"GDP growth
(annual %)","health expenditure 
% of GDP","health expenditure 
per person","education expenditure
% of GDP","education expenditure 
per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Afghanistan,AFG,"36,000,000","652,230",-,20.2,0.498,2.66,-,64.1,"1,919",1.5,10.3,184,3.8,24,11,8.5,79.3,26.3,5,6,-2.78,-1.3,-1.3,-1.57,-1.52,28.2,26.2,17.9,91.8,51.3,10,27.7
Albania,ALB,"2,900,000","27,398",29,36.8,0.785,4.64,53.1,34.2,"11,840",2.6,6.8,774,-,-,16,16.3,72.7,30.1,3,3,0.4,0.1,0.2,-0.4,-0.42,25.4,39.9,54.1,85.1,64.5,70,27.9
Algeria,DZA,"41,000,000","2,381,740",35.3,33.3,0.754,5.25,45.8,612.5,"15,027",3.7,7.1,"1,031",-,-,14,11.2,45.9,42.5,6,5,-0.96,-0.6,-1.2,-0.86,-0.61,35.2,29,27.8,74,44.7,30,25.8
Andorra,AND,"77,000",468,-,-,0.858,-,-,-,-,-,12,"5,949",3,-,-,-,-,-,1,1,1.45,1.9,1.2,1.6,1.24,-,-,-,-,-,-,32.1
Angola,AGO,"30,000,000","1,246,700",42.7,-,0.581,-,28.4,187.3,"6,844",3,2.9,196,-,-,10,6.6,69.1,32.1,6,6,-0.29,-1,-1,-1.1,-1.41,25.4,18.9,36,82.4,48.6,40,38.2
Antigua & Barbuda,ATG,"102,000",443,-,-,0.78,-,-,-,-,-,4.8,"1,105",-,-,14,-,-,-,2,2,0.76,0,0.3,0.44,0.24,-,-,-,-,-,-,11.1
Argentina,ARG,"44,000,000","2,736,690",41.7,35.2,0.825,6.04,57.3,874.1,"20,048",1.2,2.9,"1,390",5.4,657,17,6.6,55.6,38.5,2,2,0.18,0.2,-0.3,-0.25,-0.26,44.5,32.6,40.8,65.7,52.3,60,38.9
Armenia,ARM,"3,000,000","28,203",31.5,25.7,0.755,4.29,51.7,25.8,"8,621",3,10.1,883,2.2,90,13,16.8,80,25.8,5,4,-0.71,-0.1,0.3,-0.16,-0.56,47.4,40.5,55.3,84.7,68.7,70,18.1
Australia,AUS,"25,000,000","7,682,300",30.3,21.2,0.939,7.26,78.9,1187.3,"48,899",2.5,9.4,"4,492",5.2,"3,236",20,5.7,61.2,36,1,1,0.9,1.5,1.9,1.68,1.8,93.4,77.4,78.7,63,80.9,90,28.7
Austria,AUT,"9,000,000","82,445",30.5,30.5,0.908,7.29,80.3,417.2,"48,005",0.9,10.3,"5,138",5.4,"2,817",16,6.1,19.4,51.8,1,1,1.04,1.5,1.4,1.81,1.53,80.9,73.5,83.5,49.9,71.8,70,30.6
